system,completeness,lognr,noise,algo,metric,value,dimension,experiment
1_5,1,3,0,flower,Alignment Based Generalization,0.999998440030378,Generalization,1B
1_5,1,3,0,flower,Best Align,0.117347155810088,Precision,1B
1_5,1,3,0,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,3,0,flower,Behavioral Precision,0.0794802759593751,Precision,1B
1_5,1,3,0,flower,Behavioral Recall,1,Fitness,1B
1_5,1,3,0,flower,One Align,0.117347155810088,Precision,1B
1_5,1,3,0,flower,Token Based Fitness,1,Fitness,1B
1_5,1,3,0,heuristics,Alignment Based Fitness,0.891044236802847,Fitness,1B
1_5,1,3,0,heuristics,Alignment Based Generalization,0.999098475213569,Generalization,1B
1_5,1,3,0,heuristics,Alignment Based Precision,0.666762299300147,Precision,1B
1_5,1,3,0,heuristics,Best Align,0.833333333333333,Precision,1B
1_5,1,3,0,heuristics,Behavioral Generalization,0.661663261846229,Generalization,1B
1_5,1,3,0,heuristics,Behavioral Precision,0.302916020066922,Precision,1B
1_5,1,3,0,heuristics,Behavioral Recall,0.883077871062158,Fitness,1B
1_5,1,3,0,heuristics,One Align,0.710754000989936,Precision,1B
1_5,1,3,0,ILP,Alignment Based Fitness,0.335264532814763,Fitness,1B
1_5,1,3,0,ILP,Alignment Based Generalization,0.99997648245106,Generalization,1B
1_5,1,3,0,ILP,Best Align,0.456389425049263,Precision,1B
1_5,1,3,0,ILP,Behavioral Generalization,0.634392434168139,Generalization,1B
1_5,1,3,0,ILP,Behavioral Precision,0.324747572820131,Precision,1B
1_5,1,3,0,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,3,0,ILP,One Align,0.555555555555556,Precision,1B
1_5,1,3,0,ILP,Token Based Fitness,0.991344094276428,Fitness,1B
1_5,1,3,0,inductive,Alignment Based Generalization,0,Generalization,1B
1_5,1,3,0,inductive,Alignment Based Precision,0,Precision,1B
1_5,1,3,0,inductive,Behavioral Generalization,0.650771799185043,Generalization,1B
1_5,1,3,0,inductive,Behavioral Precision,0.233945884917226,Precision,1B
1_5,1,3,0,inductive,Behavioral Recall,0.765847646922899,Fitness,1B
1_5,1,3,0,inductive,Token Based Fitness,0.8450309634208679,Fitness,1B
1_5,1,3,1,alpha,Alignment Based Fitness,0.13092117953760599,Fitness,1B
1_5,1,3,1,alpha,Alignment Based Generalization,0.999884167851314,Generalization,1B
1_5,1,3,1,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,3,1,alpha,Best Align,0.6,Precision,1B
1_5,1,3,1,alpha,Behavioral Generalization,0.144279762867512,Generalization,1B
1_5,1,3,1,alpha,Behavioral Precision,1,Precision,1B
1_5,1,3,1,alpha,Behavioral Recall,0.0839614231299133,Fitness,1B
1_5,1,3,1,alpha,One Align,1,Precision,1B
1_5,1,3,1,alpha,Token Based Fitness,0.335336685180664,Fitness,1B
1_5,1,3,1,flower,Alignment Based Fitness,1,Fitness,1B
1_5,1,3,1,flower,Alignment Based Generalization,0.999998829863306,Generalization,1B
1_5,1,3,1,flower,Best Align,0.297684631068041,Precision,1B
1_5,1,3,1,flower,Behavioral Generalization,1,Generalization,1B
1_5,1,3,1,flower,Behavioral Precision,0.115279295894772,Precision,1B
1_5,1,3,1,flower,Behavioral Recall,1,Fitness,1B
1_5,1,3,1,flower,One Align,0.297684631068041,Precision,1B
1_5,1,3,1,flower,Token Based Fitness,1,Fitness,1B
1_5,1,3,1,heuristics,Alignment Based Generalization,0,Generalization,1B
1_5,1,3,1,heuristics,Alignment Based Precision,0,Precision,1B
1_5,1,3,1,heuristics,Behavioral Generalization,0.236277472139015,Generalization,1B
1_5,1,3,1,heuristics,Behavioral Precision,0.370916110082096,Precision,1B
1_5,1,3,1,heuristics,Behavioral Recall,0.804468217305562,Fitness,1B
1_5,1,3,1,ILP,Alignment Based Fitness,0.119728064514125,Fitness,1B
1_5,1,3,1,ILP,Alignment Based Generalization,0.999993681882799,Generalization,1B
1_5,1,3,1,ILP,Best Align,0.332977480243221,Precision,1B
1_5,1,3,1,ILP,Behavioral Generalization,0.969872644569056,Generalization,1B
1_5,1,3,1,ILP,Behavioral Precision,0.135227781695312,Precision,1B
1_5,1,3,1,ILP,Behavioral Recall,1,Fitness,1B
1_5,1,3,1,ILP,One Align,0.0769230769230769,Precision,1B
1_5,1,3,1,ILP,Token Based Fitness,0.9762282371521,Fitness,1B
1_5,1,3,1,inductive,Alignment Based Fitness,0.917040051355105,Fitness,1B
1_5,1,3,1,inductive,Alignment Based Precision,0.370806369343263,Precision,1B
1_5,1,3,1,inductive,Best Align,0.44235895635998246,Precision,1B
1_5,1,3,1,inductive,Behavioral Generalization,0.323847153244841,Generalization,1B
1_5,1,3,1,inductive,Behavioral Precision,0.128607343229128,Precision,1B
1_5,1,3,1,inductive,Behavioral Recall,0.554907204797796,Fitness,1B
1_5,1,3,1,inductive,One Align,0.450234237001766,Precision,1B
1_5,1,3,2,alpha,Alignment Based Fitness,0.155973975158587,Fitness,1B
1_5,1,3,2,alpha,Alignment Based Generalization,0.99988868286384,Generalization,1B
1_5,1,3,2,alpha,Alignment Based Precision,1,Precision,1B
1_5,1,3,2,alpha,Best Align,1,Precision,1B
